Number,Registration,Details,Product,MPG,Odometer,Distance,Unit,MPG with Platoon Operation
4421,YK15GPU,Mercedes Econic 3 Axle Bin,Diesel,1.85,38595,7664,Kilometres,1.77
4423,YK15GOP,Mercedes Econic 3 Axle Bin,Diesel,2.12,57550,11293,Kilometres,2.03
4424,YK15GOU,Mercedes Econic 3 Axle Bin,Diesel,2.05,45831,9202,Kilometres,1.96
4425,YK15GPE,Mercedes Econic 3 Axle Bin,Diesel,2.38,59423,12303,Kilometres,2.27
4426,YK15GPV,Mercedes Econic 3 Axle Bin,Diesel,6.75,52162,26757,Kilometres,6.45
4427,YK15GPO,Mercedes Econic 3 Axle Bin,Diesel,1.86,38428,8028,Kilometres,1.78
4428,YK15GPX,Mercedes Econic 3 Axle Bin,Diesel,3.3,64264,10852,Kilometres,3.15
4429,YK15HNZ,Mercedes Econic 2 Axle Bin,Diesel,3.71,57890,12345,Kilometres,3.54
4431,YK15VVS,Daf LF220 2 Axle Bin,Diesel,6.04,105522,21206,Kilometres,5.77
4432,YK15VVR,Daf LF220 2 Axle Bin,Diesel,6.58,71390,15378,Kilometres,6.29
4433,YJ65DJF,Mercedes Econic 4 Axle Bin,Diesel,2.85,67029,17262,Kilometres,2.72
4434,YJ65DJD,Mercedes Econic 4 Axle Bin,Diesel,6.76,70596,37709,Kilometres,6.46
4436,YJ16ZWD,Mercedes Econic 3 Axle Bin,Diesel,1.65,27449,7222,Kilometres,1.58
4437,YJ16 ZWB,Mercedes Econic 3 Axle Bin,Diesel,2.16,35527,9710,Kilometres,2.06
4439,YJ16 ZWK,Mercedes Econic 3 Axle Bin,Diesel,2.12,34346,9314,Kilometres,2.03
4440,YJ16 ZWL,Mereecdes Econic 3 Axle Bin,Diesel,2.59,31894,9168,Kilometres,2.47
4441,YJ16 ZWM,Mercedes Econic 3 Axle Bin,Diesel,1.9,24975,6793,Kilometres,1.82
4442,YJ16 ZWP,Mercedes Econic 3 Axle Bin,Diesel,3.31,53782,14853,Kilometres,3.16
4443,YJ16 ZWR,Mercedes Econic 3 Axle Bin,Diesel,1.8,26821,7254,Kilometres,1.72
4444,YJ16 ZWS,Mercedes Econic 3 Axle Bin,Diesel,1.76,25427,6764,Kilometres,1.68
4445,YJ16 ZWE,Mercedes Econic 3 Axle Bin,Diesel,2.63,49416,11136,Kilometres,2.51
4446,YJ16ZWF,Mercedes Econic 3 Axle Bin,Diesel,2.32,44996,11330,Kilometres,2.22
4447,YJ16ZWG,Mercedes Econic 3 Axle Bin,Diesel,3.32,65172,15833,Kilometres,3.17
4448,YJ16ZWH,Mercedes Econic 3 Axle Bin,Diesel,2.25,46280,12588,Kilometres,2.15
4449,VX16ASZ,Dennis Elite 3 Axle Bin,Diesel,3.99,57605,16020,Kilometres,3.81
4450,VX16 ATF,Dennis Elite 3 Axle Bin,Diesel,4.03,51880,16261,Kilometres,3.85
4451,VX16 ATK,Dennis Elite 3 Axle Bin,Diesel,2.74,36574,9651,Kilometres,2.62
4452,VN17DJE,Dennis Dennis Mun RCV 3 Axle Bin,Diesel,7.93,41373,19128,Miles,7.58
4453,VN17DJF,Dennis Dennis Mun RCV 3 Axle Bin,Diesel,7.52,45223,23706,Miles,7.19
4454,VN17DJJ,Dennis Dennis Mun RCV 3 Axle Bin,Diesel,7.59,39214,21062,Miles,7.25
